StudyHours,Attendance,AssignmentMarks,InternalMarks,Result
7,83,12,48,Excellent
5,98,20,10,Excellent
7,73,14,22,Excellent
9,58,11,19,Pass
9,100,10,40,Excellent
7,58,18,36,Excellent
5,79,18,15,Pass
5,55,14,41,Excellent
6,100,25,22,Excellent
5,72,24,34,Excellent
10,66,7,31,Excellent
3,52,19,47,Excellent
8,77,18,24,Excellent
1,76,6,44,Pass
9,69,5,20,Pass
7,54,8,15,Pass
10,84,12,40,Excellent
10,51,10,43,Excellent
8,100,20,20,Excellent
6,51,19,25,Excellent
9,77,16,48,Excellent
9,59,12,34,Excellent
2,52,11,43,Pass
5,63,18,27,Excellent
3,62,22,25,Pass
3,63,7,10,Fail
6,87,21,39,Excellent
5,98,15,26,Excellent
5,56,9,19,Pass
7,91,7,16,Pass
1,52,9,22,Fail
2,78,21,47,Excellent
5,54,16,21,Pass
8,81,21,41,Excellent
6,93,18,47,Excellent
4,94,12,35,Excellent
1,78,9,19,Fail
8,94,13,38,Excellent
10,78,22,15,Excellent
10,69,17,35,Excellent
3,74,6,34,Pass
5,69,8,45,Excellent
6,84,13,50,Excellent
9,82,12,18,Excellent
1,61,20,30,Pass
6,71,17,40,Excellent
5,100,10,28,Excellent
7,72,6,50,Excellent
8,60,12,44,Excellent
10,70,19,46,Excellent
6,75,14,17,Pass
4,85,23,24,Excellent
10,53,22,43,Excellent
2,96,9,34,Pass
8,81,24,16,Excellent
4,53,13,27,Pass
7,81,8,12,Pass
10,72,8,15,Excellent
9,79,12,38,Excellent
4,78,7,30,Pass
8,85,16,32,Excellent
5,70,14,26,Excellent
3,92,14,47,Excellent
